 |         fit_name |       quality |   chisq/nDoF                 |
--------------------------------------------------------------------
e|   csrc_Dt32_1-31 |       0.53101 |   28.94/(  31 -  3) =   1.03 | F=-4.41(429)*10^-3; Fi_Dt32=3.85(380)*10^-3; Ei_Dt32=0.500(471)
*|     c2_Dt32_1-31 |       0.15517 |   28.77/(  31 -  5) =   1.11 | F=-5.87(651)*10^-3; Ff_Dt32=3.19(905)*10^-3; Ef_Dt32=0.118(246); Fi_Dt32=4.32(402)*10^-3; Ei_Dt32=0.500(468)
*|      c_Dt32_1-31 |      0.048028 |   29.96/(  31 -  1) =   1.00 | F=-3.01(406)*10^-3
*|      c_Dt32_1-24 |      0.046928 |   14.09/(  24 -  1) =   0.61 | F=-2.71(440)*10^-3
*|      c_Dt32_2-24 |      0.045405 |   12.79/(  23 -  1) =   0.58 | F=-3.94(453)*10^-3
*|      c_Dt32_2-31 |      0.045383 |   28.71/(  30 -  1) =   0.99 | F=-3.85(413)*10^-3
*|      c_Dt32_1-30 |      0.045006 |   28.95/(  30 -  1) =   1.00 | F=-3.51(409)*10^-3
*|      c_Dt32_2-30 |       0.04282 |   27.45/(  29 -  1) =   0.98 | F=-4.48(417)*10^-3
*|      c_Dt32_1-23 |      0.041249 |   14.08/(  23 -  1) =   0.64 | F=-2.61(451)*10^-3
*|      c_Dt32_1-26 |      0.041031 |   20.56/(  26 -  1) =   0.82 | F=-1.93(432)*10^-3
*|      c_Dt32_3-31 |      0.040998 |   28.67/(  29 -  1) =   1.02 | F=-3.94(416)*10^-3
*|      c_Dt32_1-27 |      0.040934 |   23.11/(  27 -  1) =   0.89 | F=-1.16(429)*10^-3
*|      c_Dt32_1-29 |      0.040813 |   28.80/(  29 -  1) =   1.03 | F=-3.75(414)*10^-3
*|      c_Dt32_1-25 |      0.040329 |   18.57/(  25 -  1) =   0.77 | F=-1.26(434)*10^-3
*|      c_Dt32_3-24 |      0.040091 |   12.66/(  22 -  1) =   0.60 | F=-4.18(457)*10^-3
*|      c_Dt32_2-23 |      0.039659 |   12.79/(  22 -  1) =   0.61 | F=-3.90(465)*10^-3
*|      c_Dt32_2-26 |      0.038985 |   19.21/(  25 -  1) =   0.80 | F=-3.12(444)*10^-3
*|      c_Dt32_2-29 |      0.038781 |   27.25/(  28 -  1) =   1.01 | F=-4.79(422)*10^-3
*|      c_Dt32_3-30 |      0.038546 |   27.41/(  28 -  1) =   1.02 | F=-4.58(420)*10^-3
*|      c_Dt32_2-27 |      0.038145 |   22.12/(  26 -  1) =   0.88 | F=-2.13(440)*10^-3
